title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
Hoop Days,US,en,tvSeries,Hoop Days,2003,"Animation,Drama,Sport",6.1,48,0.0
It's Hard to Be Nice,GB,en,movie,It's Hard to Be Nice,2007,"Comedy,Drama",7.4,1006,0.0
The Day of the Dead,US,en,movie,The Day of the Dead,2007,"Horror,Thriller",4.6,54,0.0
Dogging: A Love Story,GB,en,movie,Public Sex,2009,"Comedy,Drama",4.5,507,0.0
Precious,US,en,movie,Precious,2009,Drama,7.3,103278,0.0
The Making of 'The Spy Who Loved Me',GB,en,tvSeries,The Making of 'The Spy Who Loved Me',1977,Documentary,7.8,12,0.0
Green Zone,US,en,movie,Green Zone,2010,"Action,Drama,Thriller",6.8,126441,0.0
Spiderman,US,en,movie,The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",6.9,545736,0.0
Ingenious,US,en,movie,Ingenious,2009,"Comedy,Drama,Romance",5.8,1830,0.0
P Storm,US,en,movie,P Storm,2019,"Action,Crime",5.8,464,0.0
Vellai Pookal,US,en,movie,Vellai Pookal,2019,"Crime,Drama,Thriller",7.2,1183,0.0
Killing Sarai,US,en,movie,Killing Sarai,2019,"Romance,Thriller",5.7,182,0.0
The Anna Nicole Smith Story,US,en,movie,The Anna Nicole Smith Story,2007,"Biography,Drama",4.4,528,0.0
Feel Good,GB,en,tvSeries,Feel Good,2020,"Comedy,Drama,Romance",7.5,2744,0.0
Kingdom Men Rising,US,en,movie,Kingdom Men Rising,2019,Documentary,8.1,38,0.0
Ninja Warrior,US,en,tvSeries,Ninja Warrior,2007,"Reality-TV,Sport",8.0,971,0.0
Desire Game,US,en,movie,Desire Game,2019,"Crime,Mystery,Sci-Fi",4.7,10,0.0
